SMILES,logCMC
CCCCCCCCC(O)CO,3.361727836
CCCCCCCCC(O)CCO,3.361727836
CCCCCCCCCCCCC(O)CCO,1.113943352
CCCCCCCCOCCO,3.69019608
CCCCCCCCOCCOCCOCCO,3.875061263
CCCCCCCCOCCOCCOCCOCCOCCO,3.963787827
CCCCCCCCOCCOCCOCCOCCOCCOCCO,3.995635195
CCCCCCCCCCOCCOCCOCCOCCO,2.832508913
CCCCCCCCCCOCCOCCOCCOCCOCCO,2.880813592
CCCCCCCCCCOCCOCCOCCOCCOCCOCCO,2.954242509
CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,3
CCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.477121255
CCCCCCCCCCCCOCCOCCO,1.51851394
CCCCCCCCCCCCOCCOCCOCCO,1.716003344
CCCCCCCCCCCCOCCOCCOCCOCCO,1.806179974
CCCCCCCCCCCCOCCOCCOCCOCCOCCO,1.806179974
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,1.913813852
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.037426498
CCCCCCCCCCCCCOCCOCCOCCOCCOCCO,1.69019608
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,1.431363764
CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,1
CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.954242509
CCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.544068044
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,0.220108088
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,0.230448921
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.322219295
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.361727836
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.491361694
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.591064607
CCCCCCCCCCCC(=O)N(CCO)CCO,2.421603927
OCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.397940009
OCCOCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.447158031
OCCOCCOCCOCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.568201724
OCCOCCOCCOCCOCCOCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.681241237
CCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,4.919078092
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,2.51851394
CC(C)(C)CC(C)(C)c1ccc(OCCOCCO)cc1,2.113943352
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCO)cc1,1.986771734
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1,2.113943352
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCO)cc1,2.176091259
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCO)cc1,2.322219295
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,2.397940009
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1,2.447158031
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,2.477121255
CCCCCCCCC=CCCCCCCCC(=O)OC1(OC2(CO)OC(CO)C(O)C2O)OC(CO)C(O)C(O)C1O,0.707570176
CCCCCCCCCC(=O)CC(=O)NC1CCOC1=O,1.986771734
CCCCCC(=O)CC(=O)NC1CCOC1=O,3.336459734
CCCCCCCCCCCC(=O)NC1CCOC1=O,0.602059991
CCCCCCCCCCCCCCCC(=O)NC1CCOC1=O,-0.795880017
CCCCCCCCOCC(O)CO,3.763427994
CCCCCCCCOC1OC(CO)C(O)C(O)C1O,4.397940009
CCCCOCC(O)C(O)C(O)CO,4.763427994
CCCCCCCCCC(=O)OCC(O)C(O)C(O)CO,3.255272505
CCCCCCC(=O)OCC(O)C(O)C(O)CO,4
CCCCCCCOCC(O)C(O)C(O)CO,3.963787827
CCCCCC(=O)OCC(O)C(O)C(O)CO,4.763427994
CCCCCCOCC(O)C(O)C(O)CO,3.973127854
CCCCCCCCC(=O)OCC(O)C(O)C(O)CO,3.643452676
CCCCCCCCCOCC(O)C(O)C(O)CO,3.322219295
CCCCCCCC(=O)OCC(O)C(O)C(O)CO,4.255272505
CCCCCCCCOCC(O)C(O)C(O)CO,3.826074803
CCCCC(=O)OCC(O)C(O)C(O)CO,5.079181246
CCCCCOCC(O)C(O)C(O)CO,4.579783597
CCCCSCC(O)C(O)C(O)CO,5.255272505
CCCCCSCC(O)C(O)C(O)CO,4.662757832
CCCCCC(CCCC)OC1OC(CO)C(O)C(O)C1O,4.176091259
CCCCCCCC(CC)OC1OC(CO)C(O)C(O)C1O,3.929418926
CCCCCCCCC(C)OC1OC(CO)C(O)C(O)C1O,3.653212514
